task,target,feature_set,model,mae,rmse,r2,validation,split,fold,n,model_label,target_id,target_order,target_label,axis_label,unit
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",RandomForest,0.13862456646363375,0.17792911531141084,0.8950984959099431,Internal 5-fold CV,internal_xg_stratified_cv,,,Random forest,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",GradientBoosting,0.10356023569778909,0.14215263361771716,0.9330427672270932,Internal 5-fold CV,internal_xg_stratified_cv,,,Gradient boosting,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",GPR_Matern_ARD,23.109610212138858,25.608993484890853,-0.3198134609017724,External validation,external_predict,,8.0,GPR-Matern-ARD,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",KernelRidge_RBF,24.589877529482095,28.10303670040175,-0.5894030250463034,External validation,external_predict,,8.0,KRR-RBF,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",SVR_RBF,18.050341385993597,20.382437623208155,0.1639355102289207,External validation,external_predict,,8.0,SVR-RBF,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",Ridge,19.65830403127061,22.220601666745956,0.0063368999858375,External validation,external_predict,,8.0,Ridge,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",XGBoost,30.489481563568113,35.98875226323572,-1.6065203133360997,External validation,external_predict,,8.0,XGBoost,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",ExtraTrees,20.049223302083476,22.144832879838813,0.0131018190942511,External validation,external_predict,,8.0,Extra Trees,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",RandomForest,28.572070922972312,33.75608904881678,-1.293146399564547,External validation,external_predict,,8.0,Random forest,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",GradientBoosting,31.851223194012633,38.21628947902874,-1.9391690791542624,External validation,external_predict,,8.0,Gradient boosting,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",GPR_Matern_ARD,9.750429183575074,11.753375001666916,0.9079743478804547,Internal 5-fold CV,internal_xg_stratified_cv,,,GPR-Matern-ARD,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",KernelRidge_RBF,11.053818872738086,14.40045314564672,0.8618547251729999,Internal 5-fold CV,internal_xg_stratified_cv,,,KRR-RBF,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",SVR_RBF,20.252202511528232,24.6978761821963,0.5936475000739863,Internal 5-fold CV,internal_xg_stratified_cv,,,SVR-RBF,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",Ridge,11.39741969730525,13.646746016348125,0.8759370980504553,Internal 5-fold CV,internal_xg_stratified_cv,,,Ridge,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",XGBoost,8.437555271911622,11.237784709086235,0.9158711149549073,Internal 5-fold CV,internal_xg_stratified_cv,,,XGBoost,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",ExtraTrees,9.119274976851797,10.951540932455938,0.920102318080267,Internal 5-fold CV,internal_xg_stratified_cv,,,Extra Trees,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",RandomForest,9.600889919430402,11.519160383107607,0.9116054746840798,Internal 5-fold CV,internal_xg_stratified_cv,,,Random forest,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
strain_from_formulation,break_strain_pct,"yp_pct,xanthan_pct",GradientBoosting,9.620292468465474,11.364240834319293,0.9139670973939721,Internal 5-fold CV,internal_xg_stratified_cv,,,Gradient boosting,break_strain,3,Breaking strain,$\gamma_\mathrm{break}$ (%),%
