family,feature_set_id,feature_set_label,features,target_id,target,target_title,model,model_label,validation,n,mae,rmse,r2
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,GPR_Matern_ARD,GPR-Matern-ARD,Internal balanced 5-fold CV,30,0.07353809284076399,0.09777318877729065,0.9683242260187493
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,GPR_Matern_ARD,GPR-Matern-ARD,External validation,8,0.08332810270678359,0.12569833051330717,0.8713983132585426
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,KernelRidge_RBF,KRR-RBF,Internal balanced 5-fold CV,30,0.14371950249476478,0.2048798544112016,0.8609131119935162
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,KernelRidge_RBF,KRR-RBF,External validation,8,0.07455650880565579,0.12787197173889978,0.8669121621661766
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,SVR_RBF,SVR-RBF,Internal balanced 5-fold CV,30,0.07756255932347854,0.11750420225931373,0.9542496444832697
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,SVR_RBF,SVR-RBF,External validation,8,0.08535562133022545,0.12066142799132683,0.8814983036718125
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,Ridge,Ridge,Internal balanced 5-fold CV,30,0.22680522732833186,0.31298452767993973,0.6754112868817674
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,Ridge,Ridge,External validation,8,0.13069136768426903,0.17003360556930902,0.7646809025464453
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,XGBoost,XGBoost,Internal balanced 5-fold CV,30,0.16789859141072933,0.227029034097183,0.829214703007015
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,XGBoost,XGBoost,External validation,8,0.18970584394525344,0.2584048967722441,0.45651304518502067
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,ExtraTrees,Extra Trees,Internal balanced 5-fold CV,30,0.12476067422380378,0.17774752427679255,0.8953125075630409
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,ExtraTrees,Extra Trees,External validation,8,0.08952943175437852,0.12063704832968573,0.8815461854090643
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,RandomForest,Random forest,Internal balanced 5-fold CV,30,0.13862456646363375,0.17792911531141084,0.8950984959099431
